key;section;texte;texte_en;texte_en;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.about;Navbar;À propos de nous;[EN] À propos de nous;About Us;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.contact;Navbar;Contact;[EN] Contact;Contact;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.home;Navbar;Accueil;[EN] Accueil;Welcome;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.sectors;Navbar;Domaines;[EN] Domaines;Domains;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.services.dropdown.all;Navbar;Voir tous les services;[EN] Voir tous les services;See all services;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.services.dropdown.diagbox;Navbar;Diagbox;[EN] Diagbox;Diagbox®;;;;;;;;;;;;;;;;;;;;;;;;;;;
navbar.services.title;Navbar;Services;[EN] Services;Services;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.cta.button;Home (CTA);Prendre contact;[EN] Prendre contact;Get in touch;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.cta.subtitle;Home (CTA);Contactez-nous pour discuter de vos besoins et découvrir comment nous pouvons vous aider.;[EN] Contactez-nous pour discuter de vos besoins et découvrir comment nous pouvons vous aider.;Contact us to discuss your needs and find out how we can help.;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.cta.title;Home (CTA);Prêt à commencer ?;[EN] Prêt à commencer ?;Ready to get started?;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.card_title_agriculture;Home (Hero);Agriculture, élevage;[EN] Agriculture;Agriculture, livestock;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.card_title_health;Home (Hero);"Santé publique, 
Hygiène dans les bâtiments";"[EN] Santé publique, 
Hygiène dans les bâtiments";"Public health,
Hygiene in buildings";;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.card_title_industrial;Home (Hero);"Fermentations agroalimentaire,
Traitement des eaux – bio-énergie...";"[EN] Fermentations agroalimentaire,
Traitement des eaux – bio-énergie...";"Agri-food fermentation,
Water treatment – bio-energy...";;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.card_title_turf;Home (Hero);Gazons naturels professionnels, parcs, jardin;[EN] Gazons naturels professionnels;Professional natural lawns, parks, gardens;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.cta;Home (Hero);Contactez-nous;[EN] Contactez-nous;Contact us;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.professional_intro;Home (Hero);Nos services pour vos secteurs d'activité :;[EN] Nos services pour vos secteurs d'activité :;Our services for your sectors of activity:;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.subtitle;Home (Hero);Nous mettons notre expertise du vivant à votre service;[EN] Nous mettons notre expertise du vivant à votre service;We put our expertise  in the living world — powered by DNA and RNA science - at your service;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.hero.title;Home (Hero);Voir l'invisible pour agir à temps ;[EN] Voir l'invisible pour agir à temps ;See the invisible to act in time;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.01.description;Home (Secteurs);"Mesures de pathogènes dans les eaux usées 
Possibilité de Certification COFRAC";"[EN] Mesures de pathogènes dans les eaux usées 
Possibilité de Certification COFRAC";"Pathogen measurements in wastewater
Possibility of COFRAC Certification";;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.01.name;Home (Secteurs);Epidémiosurveillance (WES);[EN] Epidémiosurveillance (WES);Epidemiological surveillance (WES);;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.02.description;Home (Secteurs);Mesures de contrôle de désinfection;[EN] Mesures de contrôle de désinfection;Disinfection control measures;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.02.name;Home (Secteurs);Hygiène hospitalière;[EN] Hygiène hospitalière;Hospital hygiene;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.03.description;Home (Secteurs);Mesures de contrôle de la qualité de l'air, de présences de nuisibles;[EN] Mesures de contrôle de la qualité de l'air;Air quality control measures,  pest presence;;;;;;;;;;;;;;;;;;;;;;;;;;;
home.sectors.03.name;Home (Secteurs);Hygiène intérieure;[EN] Hygiène intérieure;Indoor hygiene;;;;;;;;;;;;;;;;;;;;;;;;;;;
